collection,collection_id,category_id
Berne tables,1,1
Scots Pine tables,2,1
Bejar tables,3,1
Homeoffice,4,2
Oviedo,5,3
Huesca,6,3
Baumkante coffee tables,7,3
Malaga,8,3
Baumkante consoles,9,4
Wooden mirrors 120x40,10,5
Luno mirror,11,5
Asymmetric mirrors,12,5
Premium mirrors,13,5
Terra mirrors,14,5
Mira mirrors,15,5
Mia,16,6
Roa,17,6
Mammo bergere,18,7
Mammo sofa,19,7
Mammo set,20,7
Luna,21,8
Salamanca,22,7
Palencia,23,7
Bilbao,24,7
Murcia,25,7
Palamos,26,7
Berne Mia Set,27,9
Sevilla,28,1
La Moncloa,29,1
Table legs,30,10
Industrial chairs,31,6
Round wooden mirrors,32,5
Arya,33,11
