sku,collection_id,category_id,inventory,month
Berne 120 pingu,1,1,7,31.10.2023
Berne 120 pingu K-A Dark,1,1,10,31.10.2023
Berne 120 profil,1,1,5,31.10.2023
Berne 120 profil K-A Dark,1,1,3,31.10.2023
Berne 140 pingu,1,1,7,31.10.2023
Berne 140 pingu K-A Dark,1,1,2,31.10.2023
Berne 140 profil,1,1,11,31.10.2023
Berne 140 profil K-A Dark,1,1,5,31.10.2023
Berne 160 profil,1,1,0,31.10.2023
Berne 160 profil K-A Dark,1,1,10,31.10.2023
Berne 180 profil,1,1,12,31.10.2023
Berne 180 profil K-A Dark,1,1,11,31.10.2023
Berne 200 profil,1,1,6,31.10.2023
Berne 200 profil K-A Dark,1,1,1,31.10.2023
Berne 140 profil_SF,1,1,15,31.10.2023
Berne 160 profil_SF,1,1,11,31.10.2023
Berne 180 profil K-A Dark_SF,1,1,13,31.10.2023
Berne 180 profil_SF,1,1,9,31.10.2023
Scots Pine 120 Pingu,2,1,13,31.10.2023
Scots Pine 120 Profil,2,1,8,31.10.2023
Scots Pine 140 Pingu,2,1,6,31.10.2023
Scots Pine 140 Profil,2,1,3,31.10.2023
Scots Pine 160 Pingu,2,1,0,31.10.2023
Scots Pine 160 Profil,2,1,14,31.10.2023
Scots Pine 180 Profil,2,1,6,31.10.2023
Scots Pine 200 Profil,2,1,14,31.10.2023
Scotspine_140x80_tischplatte,2,1,3,31.10.2023
Scotspine_180x80_tischplatte,2,1,1,31.10.2023
Scots Pine 140 Profil_SF,2,1,9,31.10.2023
Scots Pine 160 Pingu_SF,2,1,10,31.10.2023
Scots Pine 160 Profil_SF,2,1,8,31.10.2023
Scots Pine 180 Profil_SF,2,1,2,31.10.2023
Bejar-Abgerundeter-Profil-120,3,1,10,31.10.2023
Bejar-Abgerundeter-Profil-140,3,1,1,31.10.2023
Bejar-Abgerundeter-Profil-160,3,1,5,31.10.2023
Bejar-Abgerundeter-Profil-180,3,1,15,31.10.2023
demandes masa UK,4,2,0,31.10.2023
demandes_masa,4,2,5,31.10.2023
granada_desk_black,4,2,14,31.10.2023
QE-NUXL-GXHW,4,2,16,31.10.2023
Oviedo Minii sari,5,3,16,31.10.2023
oviedo-40sehpa-UK,5,3,30,31.10.2023
oviedo-60sehpa-UK,5,3,30,31.10.2023
oviedo-80masa-UK,5,3,15,31.10.2023
oviedo-80sehpa-UK,5,3,29,31.10.2023
oviedo-combo-40-60-80,5,3,1,31.10.2023
oviedo-combo-60-80,5,3,1,31.10.2023
oviedo-combo-60-80-UK,5,3,29,31.10.2023
oviedo-drop-shape-L,5,3,9,31.10.2023
oviedo-drop-shape-L_UK,5,3,22,31.10.2023
oviedo-drop-shape-M,5,3,11,31.10.2023
oviedo-drop-shape-M_UK,5,3,2,31.10.2023
oviedo-drop-shape-M+L,5,3,28,31.10.2023
oviedo-drop-shape-M+L_UK,5,3,12,31.10.2023
oviedo-drop-shape-S,5,3,24,31.10.2023
oviedo-drop-shape-S_UK,5,3,30,31.10.2023
oviedo-drop-shape-S+M,5,3,0,31.10.2023
oviedo-drop-shape-S+M_UK,5,3,16,31.10.2023
oviedo-drop-shape-S+M+L,5,3,13,31.10.2023
oviedo-masa-60,5,3,15,31.10.2023
oviedo-masa-80-a,5,3,28,31.10.2023
oviedo-sehpa-40-a,5,3,24,31.10.2023
oviedo-sehpa-80-a,5,3,6,31.10.2023
oviedo-sehpa-combo,5,3,30,31.10.2023
oviedo-sehpa-combo-UK,5,3,2,31.10.2023
hueca-dresuar-dub,6,3,15,31.10.2023
Huesca Table,6,3,3,31.10.2023
huesca-cift-kat,6,3,15,31.10.2023
huesca-cift-kat_UK,6,3,20,31.10.2023
huesca-dresuar,6,3,27,31.10.2023
huesca-mini,6,3,4,31.10.2023
huesca-table-115x75,6,3,16,31.10.2023
huesca-tek-kat,6,3,2,31.10.2023
huescaset-mini+cift,6,3,6,31.10.2023
huesca-v-legs,6,3,3,31.10.2023
Berne sehpa 115x60,7,3,25,31.10.2023
Berne sehpa 95x65,7,3,27,31.10.2023
Berne sehpa 95x65_UK,7,3,28,31.10.2023
MO-J11D-NQWJ,7,3,28,31.10.2023
Malaga 100*55 Kayin,8,3,16,31.10.2023
Malaga 100*55 Oak,8,3,8,31.10.2023
Malaga 60*60 Kayin,8,3,13,31.10.2023
Malaga 60*60 Oak,8,3,13,31.10.2023
dresuar,9,4,15,31.10.2023
F3-PW2R-2PL4,9,4,3,31.10.2023
ayna_12040_beyaz,10,5,13,31.10.2023
ayna_12040_beyaz_UK,10,5,10,31.10.2023
ayna_12040_ceviz,10,5,3,31.10.2023
ayna_12040_ceviz_UK,10,5,27,31.10.2023
ayna_12040_siyah,10,5,11,31.10.2023
ayna_12040_siyah_UK,10,5,26,31.10.2023
luno-mirror-walnut,11,5,12,31.10.2023
amorphous-UK,12,5,19,31.10.2023
aqua_ayna_seffaf,12,5,22,31.10.2023
aqua_ayna_seffaf_UK,12,5,23,31.10.2023
ayna_amorphous,12,5,97,31.10.2023
