unique_id,order_id,purchase_date,sku,collection,category,quantity,currency,item_price,item_tax,shipping_price,shipping_tax,ship_country,sales_channel
1,305-7848953-4909159,2023-01-01T11:03:14+00:00,ayna_gusto,Asymmetric mirrors,Mirror,1,EUR,"89,9","14,4","0,0","0,0",DE,Amazon.de
2,302-4523025-4909942,2023-01-01T11:29:23+00:00,ayna_gusto,Asymmetric mirrors,Mirror,1,EUR,"89,9","14,4","0,0","0,0",DE,Amazon.de
3,028-5725420-6193920,2023-01-01T12:04:47+00:00,ayna_gusto_gold,Asymmetric mirrors,Mirror,1,EUR,"100,7","16,8","5,5","0,9",AT,Amazon.de
4,304-0273788-2526722,2023-01-01T12:06:28+00:00,Berne sehpa 95x65,Baumkante coffee tables,Coffee table,1,EUR,"199,0","31,8","0,0","0,0",DE,Amazon.de
5,405-7734281-8991534,2023-01-01T13:08:33+00:00,Berne sehpa 95x65,Baumkante coffee tables,Coffee table,1,EUR,"219,0","36,5","0,0","0,0",FR,Amazon.fr
6,203-0656453-8966727,2023-01-01T13:14:31+00:00,ayna_gusto_UK,Asymmetric mirrors,Mirror,1,GBP,"89,9","15,0","0,0","0,0",GB,Amazon.co.uk
7,171-3517727-8419535,2023-01-01T13:16:21+00:00,demandes_masa,Homeoffice,Desk,1,EUR,"199,0","35,9","0,0","0,0",IT,Amazon.it
8,403-2971622-0837157,2023-01-01T14:32:44+00:00,ayna_aqua,Asymmetric mirrors,Mirror,1,EUR,"108,4","0,0","0,0","0,0",IT,Amazon.it
9,403-0921488-0973151,2023-01-01T14:41:04+00:00,oviedo-masa-80-a,Oviedo,Coffee table,1,EUR,"149,9","25,0","0,0","0,0",FR,Amazon.fr
10,305-5572354-2550720,2023-01-01T14:41:31+00:00,oviedo-sehpa-40-a,Oviedo,Coffee table,1,EUR,"49,9","8,0","0,0","0,0",DE,Amazon.de
11,302-1921058-9339511,2023-01-01T14:46:38+00:00,ayna_amorphous,Asymmetric mirrors,Mirror,1,EUR,"149,9","23,9","0,0","0,0",DE,Amazon.de
