sku,collection,category,inventory,date,supply_days
Berne 120 pingu,Berne tables,Dining table,7,.10.2023,36
Berne 120 pingu K-A Dark,Berne tables,Dining table,10,.10.2023,36
Berne 120 profil,Berne tables,Dining table,5,.10.2023,36
Berne 120 profil K-A Dark,Berne tables,Dining table,3,.10.2023,36
Berne 140 pingu,Berne tables,Dining table,7,.10.2023,36
Berne 140 pingu K-A Dark,Berne tables,Dining table,2,.10.2023,36
Berne 140 profil,Berne tables,Dining table,11,.10.2023,36
Berne 140 profil K-A Dark,Berne tables,Dining table,5,.10.2023,36
Berne 160 profil,Berne tables,Dining table,0,.10.2023,36
Berne 160 profil K-A Dark,Berne tables,Dining table,10,.10.2023,36
Berne 180 profil,Berne tables,Dining table,12,.10.2023,36
Berne 180 profil K-A Dark,Berne tables,Dining table,11,.10.2023,36
Berne 200 profil,Berne tables,Dining table,6,.10.2023,36
Berne 200 profil K-A Dark,Berne tables,Dining table,1,.10.2023,36
Berne 140 profil_SF,Berne tables,Dining table,15,.10.2023,36
Berne 160 profil_SF,Berne tables,Dining table,11,.10.2023,36
Berne 180 profil K-A Dark_SF,Berne tables,Dining table,13,.10.2023,36
Berne 180 profil_SF,Berne tables,Dining table,9,.10.2023,36
Scots Pine 120 Pingu,Scots Pine tables,Dining table,13,.10.2023,36
Scots Pine 120 Profil,Scots Pine tables,Dining table,8,.10.2023,36
Scots Pine 140 Pingu,Scots Pine tables,Dining table,6,.10.2023,36
Scots Pine 140 Profil,Scots Pine tables,Dining table,3,.10.2023,36
Scots Pine 160 Pingu,Scots Pine tables,Dining table,0,.10.2023,36
Scots Pine 160 Profil,Scots Pine tables,Dining table,14,.10.2023,36
Scots Pine 180 Profil,Scots Pine tables,Dining table,6,.10.2023,36
Scots Pine 200 Profil,Scots Pine tables,Dining table,14,.10.2023,36
Scotspine_140x80_tischplatte,Scots Pine tables,Dining table,3,.10.2023,36
Scotspine_180x80_tischplatte,Scots Pine tables,Dining table,1,.10.2023,36
Scots Pine 140 Profil_SF,Scots Pine tables,Dining table,9,.10.2023,36
Scots Pine 160 Pingu_SF,Scots Pine tables,Dining table,10,.10.2023,36
Scots Pine 160 Profil_SF,Scots Pine tables,Dining table,8,.10.2023,36
Scots Pine 180 Profil_SF,Scots Pine tables,Dining table,2,.10.2023,36
Bejar-Abgerundeter-Profil-120,Bejar tables,Dining table,10,.10.2023,36
Bejar-Abgerundeter-Profil-140,Bejar tables,Dining table,1,.10.2023,36
Bejar-Abgerundeter-Profil-160,Bejar tables,Dining table,5,.10.2023,36
Bejar-Abgerundeter-Profil-180,Bejar tables,Dining table,15,.10.2023,36
demandes masa UK,Homeoffice,Desk,0,.10.2023,31
demandes_masa,Homeoffice,Desk,5,.10.2023,31
granada_desk_black,Homeoffice,Desk,14,.10.2023,31
QE-NUXL-GXHW,Homeoffice,Desk,16,.10.2023,31
Oviedo Minii sari,Oviedo,Coffee table,16,.10.2023,41
oviedo-40sehpa-UK,Oviedo,Coffee table,30,.10.2023,41
oviedo-60sehpa-UK,Oviedo,Coffee table,30,.10.2023,41
oviedo-80masa-UK,Oviedo,Coffee table,15,.10.2023,41
oviedo-80sehpa-UK,Oviedo,Coffee table,29,.10.2023,41
oviedo-combo-40-60-80,Oviedo,Coffee table,1,.10.2023,41
oviedo-combo-60-80,Oviedo,Coffee table,1,.10.2023,41
oviedo-combo-60-80-UK,Oviedo,Coffee table,29,.10.2023,41
oviedo-drop-shape-L,Oviedo,Coffee table,9,.10.2023,41
oviedo-drop-shape-L_UK,Oviedo,Coffee table,22,.10.2023,41
oviedo-drop-shape-M,Oviedo,Coffee table,11,.10.2023,41
oviedo-drop-shape-M_UK,Oviedo,Coffee table,2,.10.2023,41
oviedo-drop-shape-M+L,Oviedo,Coffee table,28,.10.2023,41
oviedo-drop-shape-M+L_UK,Oviedo,Coffee table,12,.10.2023,41
oviedo-drop-shape-S,Oviedo,Coffee table,24,.10.2023,41
oviedo-drop-shape-S_UK,Oviedo,Coffee table,30,.10.2023,41
oviedo-drop-shape-S+M,Oviedo,Coffee table,0,.10.2023,41
oviedo-drop-shape-S+M_UK,Oviedo,Coffee table,16,.10.2023,41
oviedo-drop-shape-S+M+L,Oviedo,Coffee table,13,.10.2023,41
oviedo-masa-60,Oviedo,Coffee table,15,.10.2023,41
oviedo-masa-80-a,Oviedo,Coffee table,28,.10.2023,41
oviedo-sehpa-40-a,Oviedo,Coffee table,24,.10.2023,41
oviedo-sehpa-80-a,Oviedo,Coffee table,6,.10.2023,41
oviedo-sehpa-combo,Oviedo,Coffee table,30,.10.2023,41
oviedo-sehpa-combo-UK,Oviedo,Coffee table,2,.10.2023,41
hueca-dresuar-dub,Huesca,Coffee table,15,.10.2023,41
Huesca Table,Huesca,Coffee table,3,.10.2023,41
huesca-cift-kat,Huesca,Coffee table,15,.10.2023,41
huesca-cift-kat_UK,Huesca,Coffee table,20,.10.2023,41
huesca-dresuar,Huesca,Coffee table,27,.10.2023,41
huesca-mini,Huesca,Coffee table,4,.10.2023,41
huesca-table-115x75,Huesca,Coffee table,16,.10.2023,41
huesca-tek-kat,Huesca,Coffee table,2,.10.2023,41
huescaset-mini+cift,Huesca,Coffee table,6,.10.2023,41
huesca-v-legs,Huesca,Coffee table,3,.10.2023,41
Berne sehpa 115x60,Baumkante coffee tables,Coffee table,25,.10.2023,36
Berne sehpa 95x65,Baumkante coffee tables,Coffee table,27,.10.2023,36
Berne sehpa 95x65_UK,Baumkante coffee tables,Coffee table,28,.10.2023,36
MO-J11D-NQWJ,Baumkante coffee tables,Coffee table,28,.10.2023,36
Malaga 100*55 Kayin,Malaga,Coffee table,16,.10.2023,36
Malaga 100*55 Oak,Malaga,Coffee table,8,.10.2023,36
Malaga 60*60 Kayin,Malaga,Coffee table,13,.10.2023,36
Malaga 60*60 Oak,Malaga,Coffee table,13,.10.2023,36
dresuar,Baumkante consoles,Console,15,.10.2023,36
F3-PW2R-2PL4,Baumkante consoles,Console,3,.10.2023,36
ayna_12040_beyaz,Wooden mirrors 120x40,Mirror,13,.10.2023,23
ayna_12040_beyaz_UK,Wooden mirrors 120x40,Mirror,10,.10.2023,23
ayna_12040_ceviz,Wooden mirrors 120x40,Mirror,3,.10.2023,23
ayna_12040_ceviz_UK,Wooden mirrors 120x40,Mirror,27,.10.2023,23
ayna_12040_siyah,Wooden mirrors 120x40,Mirror,11,.10.2023,23
ayna_12040_siyah_UK,Wooden mirrors 120x40,Mirror,26,.10.2023,23
luno-mirror-walnut,Luno mirror,Mirror,12,.10.2023,23
amorphous-UK,Asymmetric mirrors,Mirror,19,.10.2023,23
aqua_ayna_seffaf,Asymmetric mirrors,Mirror,22,.10.2023,23
aqua_ayna_seffaf_UK,Asymmetric mirrors,Mirror,23,.10.2023,23
ayna_amorphous,Asymmetric mirrors,Mirror,97,.10.2023,23
ayna_aqua,Asymmetric mirrors,Mirror,30,.10.2023,23
ayna_aqua_UK,Asymmetric mirrors,Mirror,17,.10.2023,23
ayna_gusto,Asymmetric mirrors,Mirror,85,.10.2023,23
ayna_gusto_gold,Asymmetric mirrors,Mirror,20,.10.2023,23
ayna_gusto_UK,Asymmetric mirrors,Mirror,23,.10.2023,23
denia_wood_120x57_walnut,Asymmetric mirrors,Mirror,14,.10.2023,23
gold-irregular-mirror,Premium mirrors,Mirror,12,.10.2023,23
gold-mood-mirror,Premium mirrors,Mirror,26,.10.2023,23
gold-smooth-mirror,Premium mirrors,Mirror,1,.10.2023,23
terra-mirror-walnut-102x62,Terra mirrors,Mirror,25,.10.2023,23
terra-mirror-walnut-148x58,Terra mirrors,Mirror,21,.10.2023,23
mira-mirror-black-metal,Mira mirrors,Mirror,11,.10.2023,23
mira-mirror-gold-metal,Mira mirrors,Mirror,19,.10.2023,23
mia-chair-BF-orange-x4,Mia,Chair,0,.10.2023,31
mia-chair-BF-orange-x6,Mia,Chair,0,.10.2023,31
mia-chair-BF-white-x2,Mia,Chair,0,.10.2023,31
mia-chair-BF-white-x4,Mia,Chair,0,.10.2023,31
mia-chair-BF-white-x6,Mia,Chair,0,.10.2023,31
roa-orange-x4,Roa,Chair,18,.10.2023,31
roa-white-x2,Roa,Chair,6,.10.2023,31
roa-white-x4,Roa,Chair,19,.10.2023,31
roa-white-x6,Roa,Chair,5,.10.2023,31
mammo-bergere-anthracite,Mammo bergere,Sofa,1,.10.2023,34
mammo-bergere-cream,Mammo bergere,Sofa,2,.10.2023,34
mammo-bergere-navy,Mammo bergere,Sofa,4,.10.2023,34
mammo-bergere+ottoman-anthracite,Mammo bergere,Sofa,0,.10.2023,34
mammo-bergere+ottoman-cream,Mammo bergere,Sofa,0,.10.2023,34
mammo-bergere+ottoman-navy,Mammo bergere,Sofa,0,.10.2023,34
mammo-ottoman-anthracite,Mammo bergere,Sofa,0,.10.2023,34
mammo-ottoman-cream,Mammo bergere,Sofa,0,.10.2023,34
mammo-sofa-anthracite,Mammo sofa,Sofa,0,.10.2023,34
mammo-sofa-cream,Mammo sofa,Sofa,0,.10.2023,34
mammo-sofa-grey,Mammo sofa,Sofa,2,.10.2023,34
mammo-sofa-navy,Mammo sofa,Sofa,4,.10.2023,34
mammo-sofa+ottoman-anthracite,Mammo sofa,Sofa,9,.10.2023,34
mammo-sofa-cream_SF,Mammo sofa,Sofa,14,.10.2023,34
mammo-L-sofa-anthracite,Mammo sofa,Sofa,10,.10.2023,34
mammo-L-sofa-cream,Mammo sofa,Sofa,9,.10.2023,34
mammo-L-sofa-navy,Mammo sofa,Sofa,27,.10.2023,34
mammo-sofa+bergere+ottoman-anthracite,Mammo set,Sofa,0,.10.2023,34
mammo-sofa+bergere+ottoman-cream,Mammo set,Sofa,0,.10.2023,34
mammo-sofa+bergere+ottoman-grey,Mammo set,Sofa,0,.10.2023,34
mammo-sofa+bergere+ottoman-navy,Mammo set,Sofa,0,.10.2023,34
luna-pouf-anthracite,Luna,Pouf,1,.10.2023,26
luna-pouf-beige,Luna,Pouf,5,.10.2023,26
luna-pouf-black,Luna,Pouf,2,.10.2023,26
luna-pouf-cube-cream,Luna,Pouf,28,.10.2023,26
luna-pouf-cube-grey,Luna,Pouf,6,.10.2023,26
luna-pouf-green,Luna,Pouf,10,.10.2023,26
